task,BatchNormalization8,BatchNormalization256,BatchNormalization1024,BatchNormalization16,BatchNormalization512,BatchNormalization32,BatchNormalization128,BatchNormalization64,Conv2D1024,Conv2D64,Conv2D128,Conv2D256,Conv2D512,Dense16,Dense8,Dense256,Dense64,Dense512,Dense32,Dense128,Dense1024
conv2d_9,inf,inf,inf,inf,inf,inf,inf,inf,230436,254078,230459,229804,230689,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_7,inf,inf,inf,inf,inf,inf,inf,inf,219229,222800,220218,220387,219384,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_6,inf,inf,inf,inf,inf,inf,inf,inf,235086,255308,235198,235107,234853,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_12,inf,inf,inf,inf,inf,inf,inf,inf,206902,207477,207261,206528,207017,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_10,inf,inf,inf,inf,inf,inf,inf,inf,188685,1108428,579743,314942,195080,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_8,inf,inf,inf,inf,inf,inf,inf,inf,168093,1533853,799173,431791,247576,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_11,inf,inf,inf,inf,inf,inf,inf,inf,235113,1658487,864836,468902,269196,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_16,inf,inf,inf,inf,inf,inf,inf,inf,296175,336184,299715,295625,296537,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_14,inf,inf,inf,inf,inf,inf,inf,inf,280133,285604,280848,279127,279515,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_13,inf,inf,inf,inf,inf,inf,inf,inf,295133,335921,297401,296638,295714,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_19,inf,inf,inf,inf,inf,inf,inf,inf,293554,335492,295053,293820,293888,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_17,inf,inf,inf,inf,inf,inf,inf,inf,189342,1107543,578087,313454,192747,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_15,inf,inf,inf,inf,inf,inf,inf,inf,167191,1535827,800051,433312,248365,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_18,inf,inf,inf,inf,inf,inf,inf,inf,235962,1660303,864778,468726,269846,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_23,inf,inf,inf,inf,inf,inf,inf,inf,317739,376815,323334,320553,320724,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_21,inf,inf,inf,inf,inf,inf,inf,inf,307947,317173,310858,309653,307978,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_20,inf,inf,inf,inf,inf,inf,inf,inf,320197,376694,322941,319040,318536,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_26,inf,inf,inf,inf,inf,inf,inf,inf,318811,377061,324878,320480,319019,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_24,inf,inf,inf,inf,inf,inf,inf,inf,189083,1107124,577983,312972,193497,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_22,inf,inf,inf,inf,inf,inf,inf,inf,166544,1534747,799723,432060,248674,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_25,inf,inf,inf,inf,inf,inf,inf,inf,235963,1658135,864512,467715,270277,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_28,inf,inf,inf,inf,inf,inf,inf,inf,319194,377218,321713,320501,320127,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_27,inf,inf,inf,inf,inf,inf,inf,inf,1051981,5232702,2994700,1871886,1310499,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_29,inf,inf,inf,inf,inf,inf,inf,inf,188535,1106871,577925,312679,191469,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_30,inf,inf,inf,inf,inf,inf,inf,inf,165899,443359,256484,169907,166533,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_35,inf,inf,inf,inf,inf,inf,inf,inf,261624,527277,305757,266896,263532,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_32,inf,inf,inf,inf,inf,inf,inf,inf,262220,527313,305925,265330,262086,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_31,inf,inf,inf,inf,inf,inf,inf,inf,305385,784086,452803,312374,308436,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_40,inf,inf,inf,inf,inf,inf,inf,inf,306188,785258,451998,313765,307786,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_36,inf,inf,inf,inf,inf,inf,inf,inf,147702,613890,356397,227016,161043,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_33,inf,inf,inf,inf,inf,inf,inf,inf,138863,604745,346577,216479,151594,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_37,inf,inf,inf,inf,inf,inf,inf,inf,139955,603490,345566,216316,152641,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_34,inf,inf,inf,inf,inf,inf,inf,inf,206305,914320,529183,333585,236075,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_38,inf,inf,inf,inf,inf,inf,inf,inf,147030,613330,354911,226504,161432,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_39,inf,inf,inf,inf,inf,inf,inf,inf,193527,904623,517288,322627,225930,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_45,inf,inf,inf,inf,inf,inf,inf,inf,284079,656508,380637,289583,285197,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_42,inf,inf,inf,inf,inf,inf,inf,inf,282645,655512,378818,288712,284620,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_41,inf,inf,inf,inf,inf,inf,inf,inf,305717,784151,452084,313241,309483,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_50,inf,inf,inf,inf,inf,inf,inf,inf,304435,783687,451246,311552,305029,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_46,inf,inf,inf,inf,inf,inf,inf,inf,211488,954173,549824,348547,247473,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_43,inf,inf,inf,inf,inf,inf,inf,inf,199639,943204,538295,337719,236159,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_47,inf,inf,inf,inf,inf,inf,inf,inf,200026,942544,537976,336092,235508,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_44,inf,inf,inf,inf,inf,inf,inf,inf,244102,1142258,656924,416573,294722,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_48,inf,inf,inf,inf,inf,inf,inf,inf,211516,955260,550716,349226,246502,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_49,inf,inf,inf,inf,inf,inf,inf,inf,230900,1129754,644438,404954,281321,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_55,inf,inf,inf,inf,inf,inf,inf,inf,283951,655226,377855,289648,284301,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_52,inf,inf,inf,inf,inf,inf,inf,inf,282138,654480,377796,287544,284442,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_51,inf,inf,inf,inf,inf,inf,inf,inf,304967,784754,451294,313714,307695,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_60,inf,inf,inf,inf,inf,inf,inf,inf,305283,784452,452116,311781,308102,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_56,inf,inf,inf,inf,inf,inf,inf,inf,212537,954544,551065,348565,249575,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_53,inf,inf,inf,inf,inf,inf,inf,inf,200122,942338,536923,336282,235222,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_57,inf,inf,inf,inf,inf,inf,inf,inf,198831,941707,537526,335605,235094,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_54,inf,inf,inf,inf,inf,inf,inf,inf,245013,1141967,656597,413788,293554,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_58,inf,inf,inf,inf,inf,inf,inf,inf,211000,954217,549413,348283,246932,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_59,inf,inf,inf,inf,inf,inf,inf,inf,230997,1129655,643985,402578,282517,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_65,inf,inf,inf,inf,inf,inf,inf,inf,306642,784411,451802,311300,308399,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_62,inf,inf,inf,inf,inf,inf,inf,inf,306342,783985,451660,312206,307117,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_61,inf,inf,inf,inf,inf,inf,inf,inf,306101,785185,452319,312342,308496,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_70,inf,inf,inf,inf,inf,inf,inf,inf,304704,783323,450967,312822,306682,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_66,inf,inf,inf,inf,inf,inf,inf,inf,284860,1369612,787149,498767,351362,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_63,inf,inf,inf,inf,inf,inf,inf,inf,271080,1355129,772976,481351,337954,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_67,inf,inf,inf,inf,inf,inf,inf,inf,270267,1354965,773320,481469,337379,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_64,inf,inf,inf,inf,inf,inf,inf,inf,286004,1369623,786979,495906,352278,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_68,inf,inf,inf,inf,inf,inf,inf,inf,285163,1369630,786945,495720,351348,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_69,inf,inf,inf,inf,inf,inf,inf,inf,271617,1355000,772364,481145,338807,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_73,inf,inf,inf,inf,inf,inf,inf,inf,304496,785303,451637,307912,305898,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_71,inf,inf,inf,inf,inf,inf,inf,inf,305113,783636,450670,308577,305868,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_74,inf,inf,inf,inf,inf,inf,inf,inf,269546,1354694,772530,481152,336832,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_72,inf,inf,inf,inf,inf,inf,inf,inf,453684,956227,680526,542249,477677,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_75,inf,inf,inf,inf,inf,inf,inf,inf,286935,1369610,786966,495969,351130,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_76,inf,inf,inf,inf,inf,inf,inf,inf,288973,577970,411158,329437,289282,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_81,inf,inf,inf,inf,inf,inf,inf,inf,492380,993680,706738,564005,494718,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_78,inf,inf,inf,inf,inf,inf,inf,inf,429680,853684,606842,483603,430255,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_77,inf,inf,inf,inf,inf,inf,inf,inf,370756,712004,507468,404303,369979,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_85,inf,inf,inf,inf,inf,inf,inf,inf,246481,430442,307227,251459,246536,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_82,inf,inf,inf,inf,inf,inf,inf,inf,1211121,2661982,1889096,1501907,1308662,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_79,inf,inf,inf,inf,inf,inf,inf,inf,353123,762321,542656,431692,376213,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_80,inf,inf,inf,inf,inf,inf,inf,inf,354420,766498,546677,435378,380619,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_83,inf,inf,inf,inf,inf,inf,inf,inf,352744,763291,541261,430687,375287,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_84,inf,inf,inf,inf,inf,inf,inf,inf,356887,768414,547203,436518,380989,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_90,inf,inf,inf,inf,inf,inf,inf,inf,771709,1587319,1128135,898837,785040,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_87,inf,inf,inf,inf,inf,inf,inf,inf,675657,1362270,968298,772875,682235,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_86,inf,inf,inf,inf,inf,inf,inf,inf,580905,1138028,809932,645872,585770,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_94,inf,inf,inf,inf,inf,inf,inf,inf,388146,688012,491804,396948,391366,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_91,inf,inf,inf,inf,inf,inf,inf,inf,1211044,2662791,1889914,1501670,1307851,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_88,inf,inf,inf,inf,inf,inf,inf,inf,353425,763420,542622,431441,376138,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_89,inf,inf,inf,inf,inf,inf,inf,inf,354981,767560,546766,435553,380734,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_92,inf,inf,inf,inf,inf,inf,inf,inf,353277,764446,542470,432024,375563,inf,inf,inf,inf,inf,inf,inf,inf
