task,BatchNormalizationNS8,BatchNormalizationNS256,BatchNormalizationNS64,BatchNormalizationNS32,BatchNormalizationNS512,BatchNormalizationNS1024,BatchNormalizationNS16,BatchNormalizationNS128,Conv2DNS1024,Conv2DNS128,Conv2DNS64,Conv2DNS512,Conv2DNS256,DenseNS512,DenseNS128,DenseNS1024,DenseNS256,DenseNS64,DenseNS16,DenseNS8,DenseNS32
bn3c_branch2b,12544,392,1568,3136,196,98,6272,784,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
res3c_branch2c,-1,-1,-1,-1,-1,-1,-1,-1,50176,401408,802816,100352,200704,-1,-1,-1,-1,-1,-1,-1,-1
bn3c_branch2c,50176,1568,6272,12544,784,392,25088,3136,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
res3d_branch2a,-1,-1,-1,-1,-1,-1,-1,-1,50176,401408,802816,100352,200704,-1,-1,-1,-1,-1,-1,-1,-1
bn3d_branch2a,12544,392,1568,3136,196,98,6272,784,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
res3d_branch2b,-1,-1,-1,-1,-1,-1,-1,-1,112896,903168,1806336,225792,451584,-1,-1,-1,-1,-1,-1,-1,-1
bn3d_branch2b,12544,392,1568,3136,196,98,6272,784,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
res3d_branch2c,-1,-1,-1,-1,-1,-1,-1,-1,50176,401408,802816,100352,200704,-1,-1,-1,-1,-1,-1,-1,-1
bn3d_branch2c,50176,1568,6272,12544,784,392,25088,3136,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
res4a_branch2a,-1,-1,-1,-1,-1,-1,-1,-1,25088,200704,401408,50176,100352,-1,-1,-1,-1,-1,-1,-1,-1
res4a_branch1,-1,-1,-1,-1,-1,-1,-1,-1,100352,802816,1605632,200704,401408,-1,-1,-1,-1,-1,-1,-1,-1
bn4a_branch2a,6272,196,784,1568,98,49,3136,392,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
bn4a_branch1,25088,784,3136,6272,392,196,12544,1568,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
res4a_branch2b,-1,-1,-1,-1,-1,-1,-1,-1,112896,903168,1806336,225792,451584,-1,-1,-1,-1,-1,-1,-1,-1
bn4a_branch2b,6272,196,784,1568,98,49,3136,392,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
res4a_branch2c,-1,-1,-1,-1,-1,-1,-1,-1,50176,401408,802816,100352,200704,-1,-1,-1,-1,-1,-1,-1,-1
bn4a_branch2c,25088,784,3136,6272,392,196,12544,1568,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
res4b_branch2a,-1,-1,-1,-1,-1,-1,-1,-1,50176,401408,802816,100352,200704,-1,-1,-1,-1,-1,-1,-1,-1
bn4b_branch2a,6272,196,784,1568,98,49,3136,392,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
res4b_branch2b,-1,-1,-1,-1,-1,-1,-1,-1,112896,903168,1806336,225792,451584,-1,-1,-1,-1,-1,-1,-1,-1
bn4b_branch2b,6272,196,784,1568,98,49,3136,392,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
res4b_branch2c,-1,-1,-1,-1,-1,-1,-1,-1,50176,401408,802816,100352,200704,-1,-1,-1,-1,-1,-1,-1,-1
bn4b_branch2c,25088,784,3136,6272,392,196,12544,1568,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
res4c_branch2a,-1,-1,-1,-1,-1,-1,-1,-1,50176,401408,802816,100352,200704,-1,-1,-1,-1,-1,-1,-1,-1
bn4c_branch2a,6272,196,784,1568,98,49,3136,392,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
res4c_branch2b,-1,-1,-1,-1,-1,-1,-1,-1,112896,903168,1806336,225792,451584,-1,-1,-1,-1,-1,-1,-1,-1
bn4c_branch2b,6272,196,784,1568,98,49,3136,392,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
res4c_branch2c,-1,-1,-1,-1,-1,-1,-1,-1,50176,401408,802816,100352,200704,-1,-1,-1,-1,-1,-1,-1,-1
bn4c_branch2c,25088,784,3136,6272,392,196,12544,1568,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
res4d_branch2a,-1,-1,-1,-1,-1,-1,-1,-1,50176,401408,802816,100352,200704,-1,-1,-1,-1,-1,-1,-1,-1
bn4d_branch2a,6272,196,784,1568,98,49,3136,392,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
res4d_branch2b,-1,-1,-1,-1,-1,-1,-1,-1,112896,903168,1806336,225792,451584,-1,-1,-1,-1,-1,-1,-1,-1
bn4d_branch2b,6272,196,784,1568,98,49,3136,392,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
res4d_branch2c,-1,-1,-1,-1,-1,-1,-1,-1,50176,401408,802816,100352,200704,-1,-1,-1,-1,-1,-1,-1,-1
bn4d_branch2c,25088,784,3136,6272,392,196,12544,1568,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
res4e_branch2a,-1,-1,-1,-1,-1,-1,-1,-1,50176,401408,802816,100352,200704,-1,-1,-1,-1,-1,-1,-1,-1
bn4e_branch2a,6272,196,784,1568,98,49,3136,392,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
res4e_branch2b,-1,-1,-1,-1,-1,-1,-1,-1,112896,903168,1806336,225792,451584,-1,-1,-1,-1,-1,-1,-1,-1
bn4e_branch2b,6272,196,784,1568,98,49,3136,392,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
res4e_branch2c,-1,-1,-1,-1,-1,-1,-1,-1,50176,401408,802816,100352,200704,-1,-1,-1,-1,-1,-1,-1,-1
bn4e_branch2c,25088,784,3136,6272,392,196,12544,1568,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
res4f_branch2a,-1,-1,-1,-1,-1,-1,-1,-1,50176,401408,802816,100352,200704,-1,-1,-1,-1,-1,-1,-1,-1
bn4f_branch2a,6272,196,784,1568,98,49,3136,392,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
res4f_branch2b,-1,-1,-1,-1,-1,-1,-1,-1,112896,903168,1806336,225792,451584,-1,-1,-1,-1,-1,-1,-1,-1
bn4f_branch2b,6272,196,784,1568,98,49,3136,392,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
res4f_branch2c,-1,-1,-1,-1,-1,-1,-1,-1,50176,401408,802816,100352,200704,-1,-1,-1,-1,-1,-1,-1,-1
bn4f_branch2c,25088,784,3136,6272,392,196,12544,1568,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
res5a_branch2a,-1,-1,-1,-1,-1,-1,-1,-1,25088,200704,401408,50176,100352,-1,-1,-1,-1,-1,-1,-1,-1
res5a_branch1,-1,-1,-1,-1,-1,-1,-1,-1,100352,802816,1605632,200704,401408,-1,-1,-1,-1,-1,-1,-1,-1
